GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US23001,28279.0,23206.0,3316.0,111139,105370,96625,6531,420,906,58,830,5769,5500,1088,2071,521,26,1629,25,20,9,69,3,2,8,10,12,7,254,109,7,2,39,15,1,35,27,16,0,2,0,0,0,0,0,1,0,0,0,11,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,111139,2222,108917,104014,95875,6436,382,895,50,376,4903,4699,1026,2013,517,26,994,25,20,9,48,3,0,1,10,7,0,195,102,7,2,29,10,1,7,27,7,0,2,0,0,0,0,0,1,0,0,0,9,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87871,84268,78828,3686,355,712,46,641,3603,3450,382,1502,293,17,1151,25,13,6,40,0,2,0,8,4,7,146,59,4,0,10,10,0,24,22,14,0,2,0,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,87871,1413,86458,83357,78367,3638,319,701,39,293,3101,2987,355,1478,290,17,765,25,13,6,27,0,0,0,8,3,0,108,54,4,0,10,5,0,5,22,5,0,2,0,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49837,45393,4444,4322,1658,137,23,1497,1,2664,1874,0,790
0500000US23003,19451.0,13497.0,1658.0,67105,64900,62521,447,1221,396,21,294,2205,2100,223,1059,130,21,585,29,3,1,13,6,0,6,9,15,0,87,44,6,2,5,0,6,10,3,4,0,5,1,0,0,0,1,0,0,0,0,17,4,0,6,2,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,67105,912,66193,64333,62163,423,1206,392,18,131,1860,1792,216,1042,130,19,321,27,3,0,7,6,0,5,9,7,0,60,36,6,2,4,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54341,52995,51329,350,798,294,12,212,1346,1295,93,723,54,8,371,15,2,0,3,4,0,5,9,8,0,41,21,2,2,1,0,6,3,3,0,0,3,0,0,0,0,0,0,0,0,0,10,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54341,550,53791,52619,51103,331,790,290,11,94,1172,1134,87,712,54,6,238,13,2,0,0,4,0,5,9,4,0,35,21,2,2,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38303,29784,8519,1559,1031,88,41,890,12,528,238,0,290
0500000US23005,57823.0,103860.0,7457.0,303069,287623,264408,12120,831,7204,98,2962,15446,14630,1946,3661,2505,118,5872,69,80,7,228,28,4,41,34,28,9,757,215,53,4,128,57,5,129,66,69,0,0,3,6,4,9,0,4,1,0,4,49,1,0,28,0,1,0,5,8,0,2,3,1,0,0,0,10,8,0,0,0,2,0,0,0,303069,8011,295058,283161,262137,11925,667,7167,96,1169,11897,11402,1823,3569,2475,117,3057,62,79,7,135,22,2,2,34,16,2,464,174,51,0,67,57,4,14,62,15,0,0,0,3,4,4,0,4,1,0,4,24,1,0,9,0,1,0,5,4,0,0,3,1,0,0,0,7,7,0,0,0,0,0,0,0,247098,237132,220535,7955,650,5694,79,2219,9966,9498,925,2739,1206,84,4156,53,41,5,163,27,2,30,34,24,9,425,122,20,4,71,25,2,92,42,25,0,0,0,3,4,6,0,4,1,0,4,35,0,0,18,0,1,0,3,8,0,2,2,1,0,0,0,8,8,0,0,0,0,0,0,0,247098,5514,241584,233988,219016,7827,542,5669,78,856,7596,7317,872,2679,1195,84,2223,50,40,5,93,22,0,2,34,16,2,256,106,18,0,38,25,1,8,39,7,0,0,0,0,4,1,0,4,1,0,4,16,0,0,5,0,1,0,3,4,0,0,2,1,0,0,0,7,7,0,0,0,0,0,0,0,149452,128100,21352,9007,3524,748,100,2489,187,5483,4201,24,1258
0500000US23007,7931.3709150326795,7074.527777777777,1106.93954248366,29456,28195,27356,174,73,386,24,182,1261,1206,90,579,75,5,420,11,0,0,20,1,0,1,3,1,0,46,22,6,0,0,0,2,0,8,5,0,0,0,3,0,0,0,0,0,0,0,8,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,29456,407,29049,27965,27211,166,73,383,23,109,1084,1036,89,564,72,5,285,4,0,0,13,0,0,0,3,1,0,39,22,6,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,8,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,24045,23141,22511,129,73,269,13,146,904,878,52,455,36,3,313,2,0,0,13,0,0,1,3,0,0,21,9,0,0,0,0,2,0,5,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,24045,262,23783,22981,22414,126,73,267,12,89,802,780,52,447,36,3,231,2,0,0,6,0,0,0,3,0,0,17,9,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20856,12842,8014,1176,236,22,0,180,34,940,897,0,43
0500000US23009,13730.0,16254.0,1564.0,55478,53030,51444,355,262,566,10,393,2448,2351,236,905,259,29,857,3,8,0,21,6,1,8,5,13,0,90,28,12,0,10,14,4,7,3,9,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55478,969,54509,52469,51098,351,231,560,10,219,2040,1964,234,887,249,29,521,3,8,0,15,6,1,0,5,6,0,70,28,9,0,8,14,4,0,3,3,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46160,44481,43216,274,199,468,7,317,1679,1622,104,685,128,19,638,3,5,0,17,6,1,2,5,9,0,51,20,10,0,2,10,4,0,0,2,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46160,662,45498,44088,42985,271,176,463,7,186,1410,1360,103,676,127,19,398,3,5,0,15,6,1,0,5,2,0,44,20,7,0,0,10,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40133,24948,15185,1359,385,41,35,309,0,974,817,13,144
0500000US23011,31739.0,29551.0,3792.0,123642,117175,113639,919,511,1227,29,850,6467,6131,729,2625,578,25,2042,23,6,4,67,6,0,0,24,2,0,315,81,34,6,55,22,7,50,37,9,0,3,2,7,0,0,1,0,0,1,0,17,6,0,5,2,1,0,0,2,1,0,0,0,0,0,0,4,0,1,0,2,0,1,0,0,123642,2552,121090,115621,112682,850,460,1215,29,385,5469,5221,673,2563,552,25,1314,20,6,3,37,5,0,0,21,2,0,236,79,33,5,35,22,4,13,37,7,0,0,0,0,0,0,0,0,0,1,0,12,6,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100401,96019,93249,705,426,1003,29,607,4382,4208,301,1978,328,14,1490,16,6,4,48,5,0,0,18,0,0,168,51,11,3,21,6,3,36,22,5,0,3,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,100401,1640,98761,94990,92642,659,385,993,29,282,3771,3644,285,1946,314,14,1020,16,6,3,20,5,0,0,15,0,0,126,51,10,2,17,6,0,13,22,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62607,53223,9384,3388,1492,162,44,1080,206,1896,1358,0,538
0500000US23013,9166.0,12550.0,952.0,40607,38683,37713,272,154,250,18,276,1924,1827,186,660,140,14,796,4,0,0,9,5,0,3,7,2,1,78,13,7,0,15,8,0,20,1,6,5,0,0,0,1,2,0,0,0,0,0,9,0,1,5,0,2,0,1,0,0,0,0,0,0,0,0,10,8,1,0,1,0,0,0,0,40607,672,39935,38340,37533,256,139,250,18,144,1595,1535,177,644,130,14,540,4,0,0,9,5,0,3,7,2,0,48,8,6,0,15,8,0,6,1,0,2,0,0,0,1,1,0,0,0,0,0,7,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,33700,32346,31552,244,127,204,18,201,1354,1283,80,501,83,14,582,4,0,0,5,3,0,3,7,0,1,54,11,1,0,6,4,0,18,0,6,5,0,0,0,1,2,0,0,0,0,0,7,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,10,8,1,0,1,0,0,0,0,33700,474,33226,32105,31431,228,116,204,18,108,1121,1083,77,495,79,14,396,4,0,0,5,3,0,3,7,0,0,28,8,0,0,6,4,0,6,0,0,2,0,0,0,1,1,0,0,0,0,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,24255,17883,6372,1501,1319,1015,0,217,87,182,39,13,130
0500000US23015,9745.0,10329.0,1043.0,35237,33869,33215,165,105,234,9,141,1368,1295,100,577,110,8,467,1,1,4,8,7,0,8,0,4,0,63,3,3,0,7,13,4,14,12,4,3,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,35237,395,34842,33665,33071,156,105,227,9,97,1177,1130,100,571,110,8,320,1,0,4,3,7,0,2,0,4,0,38,3,3,0,0,13,4,1,12,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,29468,28480,27943,129,96,180,9,123,988,943,45,449,59,0,375,1,0,0,4,2,0,8,0,0,0,38,3,1,0,1,9,3,8,7,4,2,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,29468,283,29185,28339,27838,129,96,180,9,87,846,815,45,443,59,0,262,1,0,0,1,2,0,2,0,0,0,25,3,1,0,0,9,3,0,7,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,23608,15803,7805,587,249,70,0,179,0,338,182,17,139
0500000US23017,16241.62908496732,12278.472222222223,2055.0604575163397,57777,54826,53795,229,197,275,18,312,2951,2845,286,1339,173,17,972,17,2,0,12,5,0,14,5,1,2,99,28,6,0,9,19,1,25,3,0,6,0,0,0,0,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,57777,865,56912,54300,53456,209,187,275,16,157,2612,2531,272,1313,163,17,724,11,2,0,10,5,0,8,5,1,0,74,26,6,0,4,19,0,10,3,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46644,44644,43878,145,164,224,14,219,2000,1945,109,984,82,13,708,15,0,0,12,5,0,14,1,0,2,48,10,6,0,0,12,1,13,3,0,1,0,0,0,0,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,46644,516,46128,44324,43681,134,157,224,12,116,1804,1758,109,967,81,13,555,9,0,0,10,5,0,8,1,0,0,39,8,6,0,0,12,0,9,3,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,36130,24712,11418,856,712,0,0,703,9,144,25,0,119
0500000US23019,41704.0,33117.0,4401.0,152199,145061,139311,1507,1431,1865,46,901,7138,6787,869,2971,731,48,2001,35,11,3,70,2,0,7,22,16,1,311,122,17,0,47,15,7,43,34,21,0,0,0,2,0,3,0,0,0,0,0,36,0,4,9,3,5,0,0,7,0,2,3,2,0,1,0,4,2,0,0,0,0,2,0,0,152199,2715,149484,143408,138306,1443,1349,1853,37,420,6076,5853,827,2910,717,47,1240,29,11,3,32,1,0,0,21,15,0,212,108,9,0,20,15,7,7,33,8,0,0,0,2,0,3,0,0,0,0,0,11,0,0,1,0,5,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,124474,119732,115208,1141,1146,1525,35,677,4742,4543,385,2170,435,34,1399,26,11,2,47,1,0,4,13,15,1,176,60,13,0,25,11,7,32,16,7,0,0,0,2,0,3,0,0,0,0,0,23,0,0,8,3,1,0,0,4,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,124474,1806,122668,118603,114552,1093,1096,1517,30,315,4065,3942,365,2136,427,33,898,20,11,2,22,1,0,0,12,15,0,118,53,5,0,11,11,7,4,16,6,0,0,0,2,0,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,74878,64250,10628,6218,1831,569,4,1227,31,4387,3720,0,667
0500000US23021,5417.0,3121.0,465.0,16800,15992,15572,61,113,120,7,119,808,775,59,336,74,6,282,6,5,0,5,0,0,0,2,0,0,26,5,3,0,4,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,2,7,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16800,261,16539,15826,15474,57,102,120,7,66,713,693,59,336,69,6,209,6,1,0,5,0,0,0,2,0,0,17,5,3,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13901,13359,13057,47,82,79,7,87,542,523,23,253,28,4,205,6,1,0,1,0,0,0,2,0,0,13,2,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13901,170,13731,13250,12999,43,76,79,7,46,481,472,23,253,24,4,158,6,1,0,1,0,0,0,2,0,0,7,2,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14577,7615,6962,286,156,15,0,141,0,130,66,0,64
0500000US23023,9323.0,10753.0,1185.0,36699,34924,34046,314,113,258,4,189,1775,1679,220,611,194,22,610,2,6,1,6,2,0,4,1,0,0,81,29,0,0,0,14,0,17,8,12,0,0,1,0,0,0,0,0,0,0,0,9,2,0,5,1,0,0,0,0,0,0,1,0,0,0,0,6,5,0,0,0,1,0,0,0,36699,649,36050,34583,33830,295,92,247,3,116,1467,1400,211,595,193,22,361,2,6,1,6,2,0,0,1,0,0,61,29,0,0,0,14,0,4,8,6,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29938,28725,28023,238,84,214,3,163,1213,1151,99,468,103,9,458,2,6,0,1,0,0,4,1,0,0,52,20,0,0,0,5,0,13,7,6,0,0,1,0,0,0,0,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,0,0,0,29938,462,29476,28477,27880,226,67,208,2,94,999,963,97,458,103,9,286,2,6,0,1,0,0,0,1,0,0,32,20,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18938,16136,2802,361,287,0,5,282,0,74,0,0,74
0500000US23025,15028.0,9168.0,1368.0,50477,48210,47184,250,237,263,18,258,2267,2192,200,1084,118,15,726,15,3,1,8,3,0,3,11,5,0,58,17,1,1,14,8,0,5,6,2,2,0,0,0,0,2,0,0,0,0,0,10,1,1,2,0,1,0,3,2,0,0,0,0,0,0,0,7,0,5,2,0,0,0,0,0,50477,656,49821,47790,46914,248,213,261,14,140,2031,1977,184,1072,118,15,545,15,3,1,5,3,0,0,11,5,0,47,12,1,0,14,8,0,0,6,2,2,0,0,0,0,2,0,0,0,0,0,7,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40887,39284,38465,179,194,228,18,200,1603,1551,67,843,65,10,534,7,3,0,7,3,0,1,11,0,0,40,16,1,0,7,3,0,3,6,0,2,0,0,0,0,2,0,0,0,0,0,5,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,7,0,5,2,0,0,0,0,0,40887,415,40472,38996,38294,177,175,226,14,110,1476,1439,65,841,65,10,429,7,3,0,5,3,0,0,11,0,0,33,12,1,0,7,3,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29785,21924,7861,679,550,214,16,320,0,129,0,0,129
0500000US23027,10402.0,10530.0,1224.0,39607,37844,37097,148,153,207,12,227,1763,1683,159,762,139,12,574,4,4,1,14,2,0,7,2,3,0,74,21,7,4,9,7,5,17,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,39607,559,39048,37504,36883,135,140,200,12,134,1544,1496,157,760,130,12,414,4,3,1,7,0,0,5,2,1,0,47,16,7,4,0,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32289,31083,30504,107,116,172,12,172,1206,1156,65,577,65,9,413,1,4,0,12,0,0,7,2,1,0,46,10,7,4,9,0,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,32289,371,31918,30852,30367,99,103,169,12,102,1066,1034,63,577,61,9,306,1,3,0,6,0,0,5,2,1,0,31,10,7,4,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21921,17143,4778,810,160,30,14,116,0,650,485,0,165
0500000US23029,9110.0,6124.0,792.0,31095,29783,27789,162,1407,121,10,294,1312,1236,117,630,93,3,350,10,5,4,1,3,0,9,6,5,0,60,10,9,0,3,7,5,9,2,2,0,4,3,3,0,0,0,0,3,0,0,9,0,0,6,0,1,0,0,0,0,1,0,1,0,0,0,7,3,0,0,0,4,0,0,0,31095,667,30428,29338,27587,156,1381,121,7,86,1090,1045,110,619,93,2,194,10,5,0,1,3,0,0,3,5,0,39,10,6,0,1,7,5,1,2,0,0,0,1,3,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,25404,24532,23102,129,980,114,10,197,872,827,56,415,57,2,268,5,1,3,1,3,0,5,6,5,0,33,6,4,0,2,3,0,5,0,0,0,4,3,3,0,0,0,0,3,0,0,7,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,4,0,0,0,25404,424,24980,24252,22970,125,969,114,7,67,728,708,56,415,57,1,161,5,1,0,1,3,0,0,3,5,0,18,6,1,0,0,3,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,21594,13757,7837,813,346,117,12,217,0,467,253,9,205
0500000US23031,50500.0,56320.0,5726.0,211972,202164,195326,2098,657,2520,61,1502,9808,9371,1104,3307,1234,61,3463,18,9,6,100,7,9,22,12,16,3,409,99,23,2,99,22,9,94,35,14,4,2,1,2,0,1,0,1,0,1,0,24,0,6,11,0,0,2,3,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,211972,4097,207875,199860,194044,2009,566,2502,58,681,8015,7764,1056,3220,1203,61,2128,14,3,5,47,6,5,4,9,3,0,243,85,23,2,44,22,8,15,32,6,0,2,0,2,0,0,0,1,0,1,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,173464,167041,161811,1491,530,2050,48,1111,6423,6183,468,2519,589,38,2419,15,2,5,68,7,8,19,12,11,3,231,52,14,2,56,9,6,58,16,10,4,2,1,0,0,0,0,1,0,0,0,9,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173464,2694,170770,165470,160965,1445,463,2032,45,520,5300,5167,449,2465,577,38,1561,12,2,4,36,6,4,1,9,3,0,133,51,14,2,23,9,5,8,14,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112198,88924,23274,3532,1274,132,61,1064,17,2258,1440,254,564
